depot_name,location,routes_served
ADYAR,"ADYAR, ADYAR REGION, CHENNAI","102, 102C, 102K, 102K#, 102M, 102P, 102S, 102X, 109, 109A, 109CT, 109T, 109X, 19D, 19T, 1C, 1D, 21C, 21EET, 21G, 21L, 21P, 23C, 29C, 29CET, 29CEX, 41D, 45A, 47, 47A, 49, 49F, 49K, 49X, 519T, 549, 5B, 5C, 5E, 60E, 60G, 78, 96, 99, 99X, A1, A1ET, A47, CU2, S167, S17, T23C, T29, T29C"
THIRUVANMIYUR,"THIRUVANMIYUR, ADYAR REGION, CHENNAI","102A, 102CT, 102E, 109, 109A, 109C, 109CT, 109T, 109X, 19T, 1C, 1D, 3, 47A, 49, 49X, 523, 523A, 549, 588, 6, 6D, 6DET, 78, 91, 91A, 91V, 95, 95X, 99, A1, A47, M1, M1A, M70, P91, S15, T23C, T29, T29C"
MANDAVELI,"MANDAVELI, ADYAR REGION, CHENNAI","12M, 18X, 1C, 1D, 21, 21C, 21G, 29C, 29CET, 29CEX, 29ET, 41D, 49F, 49K, 5B, A1, A1ET, S17, T29, T29C"
KANNAGI NAGAR,"KANNAGI NAGAR, ADYAR REGION, CHENNAI",N/A
PERUMBAKKAM,"PERUMBAKKAM, ADYAR REGION, CHENNAI","114G, 36K, 36V, 38G, 552K, 58V, 95, 95X, 95XCT, 99, 99A, 99C, 99X, M51"
SEMMENCHERI,"SEMMENCHERI, ADYAR REGION, CHENNAI",109A
T.NAGAR,"T.NAGAR, T.NAGAR REGION, CHENNAI","147A, 147B, 154P, 54T"
SAIDAPET,"SAIDAPET, T.NAGAR REGION, CHENNAI","10A, 129C, 154, 154P, 155A, 188A, 188C, 188ET, 188K, 18A, 18B, 18D, 18E, 18K, 18P, 18R, 18RX, 18X, 19, 19A, 19B, 19BET, 19C, 19T, 221, 23C, 23V, 29B, 29NET, 3, 45A, 45ACT, 45B, 45BET, 47, 47A, 47C, 500W, 51A, 51AX, 51B, 51D, 51J, 51M, 51T, 52, 52B, 52C, 52G, 52K, 54, 54B, 54E, 54G, 54K, 54L, 54P, 54S, 54T, 54V, 553W, 597, 5B, 5E, 5G, 5S, 60, 60A, 60D, 60H, 65A, 88C, 88CET, 88D, 88K, 88KET, 88R, 9M, 9MET, A45B, A47, A51, B18, D51ET, E18, E51, G18, M18C, M19B, M51, M51D, M51DCT, M51R, M51V, M60, N45B, S18D, S18K, S30, S30K, S35, T23C, V51"
K.K.NAGAR,"K.K.NAGAR, T.NAGAR REGION, CHENNAI","11G, 12G, 12M, 17D, 18M, 37D, 5E, 70C, 70CCT, S20"
ADAMBAKKAM,"ADAMBAKKAM, T.NAGAR REGION, CHENNAI","105A, 118N, 18P, 18S, 31G, 51D, 9M, 9MET, S3X"
CHROMPET,"CHROMPET, CHROMPET REGION, CHENNAI",N/A
TAMBARAM,"TAMBARAM, CHROMPET REGION, CHENNAI","104, 105, 105A, 111, 111ET, 118, 118ET, 118G, 118N, 118P, 118T, 166, 166K, 170A, 170T, 170TX, 18A, 18ACT, 18H, 18M, 18N, 18S, 18X, 202, 202A, 21G, 266, 31A, 31B, 31G, 31M, 31P, 500, 500A, 500D, 500E, 500ET, 500P, 500R, 500W, 51, 515, 515A, 515B, 515CT, 517K, 51A, 51AX, 51D, 51X, 555M, 55B, 55C, 55D, 55DET, 55ET, 55G, 55H, 55M, 55N, 55P, 55V, 55X, 566, 566B, 579A, 579C, 583, 583C, 583D, 66, 66K, 66M, 66P, 66PX, 70, 70C, 70CCT, 70E, 70F, 70G, 70J, 70K, 70M, 70T, 70V, 79A, 79V, 89T, 91, 91R, 91V, 95, 95X, 95XCT, 96, 99, 99A, 99C, 99X, A51, B18, E18, G18, J66, M18G, M52ET, MAA1, P91, S100, S55W, S6, S90, V51"
CHROMPET-II,"CHROMPET-II, CHROMPET REGION, CHENNAI",N/A
KILAMBAKKAM,"KILAMBAKKAM, CHROMPET REGION, CHENNAI","104A, 104C, 104F, 104G, 104K, 104M, 104P, 104T, 111ET, 166K, 170TX, 18A, 18ACT, 18S, 202X, 206, 21G, 297, 515K, 515M, 515T, 51AX, 51X, 555S, 55P, 55V, 572A, 579K, 583K, 66K, 66P, 70C, 70CCT, 70E, 70F, 70K, 70M, 70T, 70V, 91, 91R, 95X, 95XCT, 99X, MAA1, P91, V51"
KUNDRATHUR,"KUNDRATHUR, VADAPALANI REGION, CHENNAI","166, 166K, 16K, 188A, 188C, 188ET, 188K, 206, 266, 53E, 566, 566B, 578A, 60A, 60E, 66, 66A, 66K, 66M, 66P, 66PX, 88CET, 88D, 88K, 88KET, 88L, 88M, 88R, 89, 89A, 89T, 89TCT, J66, M60, M88, M88ET, M88T, S66, S69, S88A"
IYYAPPANTHANGAL,"IYYAPPANTHANGAL, VADAPALANI REGION, CHENNAI","11M, 12M, 154, 154B, 154E, 154P, 166, 16J, 21EET, 25, 26, 37, 37E, 37G, 49, 49A, 49F, 49X, 525, 54, 549, 54B, 54E, 54G, 54K, 54L, 54S, 54T, 54V, 554B, 597, 65A, S22, S23, S24, S25A, S28"
VADAPALANI,"VADAPALANI, VADAPALANI REGION, CHENNAI","12B, 12X, 15F, 17E, 17K, 18M, 25, 26, 26B, 26G, 26K, 26M, 26R, 37, 37B, 37CT, 37E, 37ECT, 37G, 525, 5E, 70G, 88L, 88M, M27, M88, M88ET, M88T, S31"
POONAMALLEE,"POONAMALLEE, VADAPALANI REGION, CHENNAI","101, 101CT, 101E, 101X, 153, 153A, 153C, 153P, 153T, 154, 154B, 154E, 16J, 20P, 25, 297, 37, 49A, 49F, 49X, 525, 53, 53C, 53G, 54, 549, 54C, 54E, 54G, 54K, 54L, 54S, 54T, 54V, 54VCT, 553K, 553W, 554B, 565, 578, 578ET, 578M, 578P, 591, 591C, 597, 597A, 597C, 597CET, 597T, 62, 62M, 65B, 65E, 65K, 66, 66P, 66PX, A54C, J66, S23, S35, S45, S50"
