bus_no,start_point,end_point,route_description,service_type
101,THIRUVOTRIYUR,POONAMALLEE,THIRUVOTRIYUR -> THRUVOTRIYUR TEMPLE -> THANGAL -> ANNA NAGAR -> ROYAPURAM P.S -> CLIVE BATTERY -> PARRYS -> M.G.R.CENTRAL -> DASAPRAKASH -> TAYLORS ROAD -> AMINJIKARAI -> NADUVANKARAI -> ARUMBAKKAM -> NERKUNDRAM -> MADURAVOYAL -> VAANAGARAM -> VELAPPANCHAVADI -> KUMUNANCHAVADI -> POONAMALLEE,ORDINARY
101CT,ROYAPURAM B.S,POONAMALLEE,ROYAPURAM B.S -> PARRYS CORNER -> M.G.R.CENTRAL -> DASAPRAKASH -> TAYLORS ROAD -> AMINJIKARAI -> NADUVANKARAI -> ARUMBAKKAM -> NERKUNDRAM -> MADURAVOYAL -> VAANAGARAM -> VELAPPANCHAVADI -> KUMUNANCHAVADI -> POONAMALLEE,ORDINARY
101E,TONDIARPET,BSNL OFFICE,TONDIARPET -> THANGAL TOLLGATE -> N4 POLICE STATION -> ROYAPURAM P.S -> CLIVE BATTERY -> PARRYS CORNER -> M.G.R.CENTRAL -> DASAPRAKASH -> TAYLORS ROAD -> AMINJIKARAI -> D.G VAISHNAV COLLEGE -> ARUMBAKKAM -> NERKUNDRAM -> MADURAVOYAL MARKET -> VANAGARAM -> VELAPPANCHAVADI -> KUMANANCHAVADI -> POONAMALLEE B.T -> BSNL OFFICE,ORDINARY
101X,ROYAPURAM B.S,THIRUMAZHISAI,ROYAPURAM B.S -> PARRYS CORNER -> M.G.R.CENTRAL -> DASAPRAKASH -> TAYLORS ROAD -> AMINJIKARAI -> NADUVANKARAI -> ARUMBAKKAM -> NERKUNDRAM -> MADURAVOYAL -> VAANAGARAM -> VELAPPANCHAVADI -> KUMUNANCHAVADI -> POONAMALLEE -> VARADARAJA PURAM -> THIRUMAZHISAI,EXPRESS
102,ISLAND GROUND,KELAMBAKKAM,ISLAND GROUND -> SECRETARIAT -> CHEPAUK -> Q.M.C -> FORESHORE ESTATE -> A.M.S.HOSPITAL -> ADYAR O.T. -> INDIRA NAGAR WATER TANK -> SRP TOOLS -> KANDANCHAVADI -> THORAPPAKKAM TEA SHOP -> MOOTAKARAN CHAVADI -> KARAPAKKAM -> SHOZHANGANALLUR P.U.OFFICE -> KUMARAN NAGAR -> SEMMANCHERI -> NAVALUR -> CHURCH -> PALAVASTHIC CHEMICALS -> HINDUSTAN ENG. COLLEGE -> KELAMBAKKAM,ORDINARY
102A,THIRUVANMIYUR,PUDUPAKKAM/VANDALOOR RD.J,THIRUVANMIYUR -> SRP TOOLS -> KANDANCHAVADI -> THORAPPAKKAM TEA SHOP -> MOOTAKARAN CHAVADI -> KARAPAKKAM -> SHOZHANGANALLUR P.U.OFFICE -> KUMARAN NAGAR -> SEMMANCHERI -> NAVALUR -> SIPCOT -> SIRUSERI I.T.PARK -> PUDUPAKKAM P.U.O. -> PUDUPAKKAM/VANDALOOR RD.J,ORDINARY
102C,ISLAND GROUND,SEMMANCHERI S.C.B.,ISLAND GROUND -> SECRETARIAT -> CHEPAUK -> Q.M.C -> FORESHORE ESTATE -> A.M.S.HOSPITAL -> ADYAR O.T. -> ADYAR DEPOT -> SRP TOOLS -> KANDANCHAVADI -> THORAPPAKKAM TEA SHOP -> MOOTAKARAN CHAVADI -> KARAPAKKAM -> SHOZHANGANALLUR P.U.OFFICE -> KUMARAN NAGAR -> NUCLEUS COMPANY -> SEMMANCHERI S.C.B.,ORDINARY
102CT,THIRUVANMIYUR,SIRUSERI I.T.PARK,THIRUVANMIYUR -> SRP TOOLS -> KANDANCHAVADI -> THORAPPAKKAM TEA SHOP -> MOOTAKARAN CHAVADI -> KARAPAKKAM -> SHOZHANGANALLUR P.U.OFFICE -> KUMARAN NAGAR -> SEMMANCHERI -> NAVALUR -> SIPCOT -> SIRUSERI I.T.PARK,ORDINARY
102E,THIRUVANMIYUR,SIRUSERI I.T PARK,THIRUVANMIYUR -> S.R.P TOOLS -> KANDANCHAVADI -> THORAIPAKKAM TEA SHOP -> MOOTAKARAN CHAVADI -> KARAPAKKAM -> SHOLINGANALLUR P.U.OFFICE -> KUMARAN NAGAR -> SEMMANCHERI ALAMARAM -> NAVALUR -> SIRUSERI SIPCOT -> SIRUSERI I.T PARK,ORDINARY
102K,ISLAND GROUND,KANNAGI NAGAR S.C.B.,ISLAND GROUND -> SECRETARIAT -> CHEPAUK -> Q.M.C -> FORESHORE ESTATE -> A.M.S.HOSPITAL -> ADYAR O.T. -> INDIRA NAGAR -> SRP TOOLS -> KANDANCHAVADI -> THORAPPAKKAM TEA SHOP -> THORAPPAKKAM P.T.C COLONY -> KANNAGI NAGAR S.C.B.,ORDINARY
