bus_no,first_trip,last_trip,frequency
101,00:30,23:50,5 mins
101CT,04:10,21:55,24 mins
101E,04:00,22:35,15 mins
101X,04:00,22:05,12 mins
102,04:40,21:55,10 mins
102A,05:05,20:10,82 mins
102C,04:25,21:30,25 mins
102CT,04:50,21:50,11 mins
102E,04:30,21:50,11 mins
102K,04:40,22:55,4 mins
102K#,04:40,22:55,4 mins
102M,05:30,19:40,121 mins
102P,03:46,22:47,6 mins
102S,06:30,21:50,92 mins
102X,04:10,22:45,8 mins
104,04:40,22:12,7 mins
104A,05:05,20:35,49 mins
104C,00:15,23:40,6 mins
104CX,04:55,22:25,19 mins
104F,06:45,20:25,117 mins
104G,04:50,18:45,119 mins
104K,04:50,21:10,43 mins
104M,04:30,19:45,48 mins
104P,05:00,20:45,63 mins
104T,04:35,20:17,63 mins
105,04:50,22:05,25 mins
105A,04:50,21:05,42 mins
109,04:20,22:20,6 mins
109A,05:45,19:45,29 mins
109C,06:40,19:35,70 mins
109CT,06:27,20:57,79 mins
109T,05:05,19:50,47 mins
109X,06:10,21:35,116 mins
10A,05:20,19:25,94 mins
10E,06:35,21:40,82 mins
11,05:10,22:25,14 mins
111,04:10,22:25,18 mins
111ET,00:15,23:05,36 mins
113,04:30,22:42,11 mins
113A,06:30,21:20,81 mins
114,00:05,23:45,6 mins
114A,05:30,20:55,62 mins
114C,06:05,20:15,121 mins
114CCT,04:45,21:20,109 mins
114D,06:15,21:55,67 mins
114E,05:35,20:45,101 mins
114ET,05:40,21:54,75 mins
114G,05:00,20:55,56 mins
114P,05:40,22:00,33 mins
114S,05:10,21:20,89 mins
118,04:52,22:10,12 mins
118ET,06:05,20:30,79 mins
118G,06:10,21:30,61 mins
118N,05:20,20:45,62 mins
118P,05:50,21:35,50 mins
118T,06:00,21:40,63 mins
119,04:02,21:55,7 mins
119G,04:15,22:05,10 mins
11G,04:30,22:00,13 mins
11M,04:30,21:55,14 mins
120,04:05,23:07,10 mins
120A,04:25,22:20,33 mins
120CT,05:25,21:00,85 mins
120E,06:40,21:35,81 mins
120F,04:48,22:02,30 mins
120G,05:20,22:37,41 mins
120K,06:15,21:35,84 mins
120KET,04:30,22:00,72 mins
121,04:22,21:35,13 mins
121A,00:10,23:20,8 mins
121C,01:50,23:55,16 mins
121CT,00:05,23:25,40 mins
121D,05:55,22:35,43 mins
121G,04:30,22:25,12 mins
121M,00:30,23:35,35 mins
121MET,06:30,22:05,104 mins
129C,06:45,21:15,97 mins
12B,04:45,22:10,20 mins
12G,05:10,21:50,12 mins
12M,04:39,21:34,35 mins
12X,04:28,22:45,7 mins
13,05:15,22:27,14 mins
142,05:25,22:32,6 mins
142B,05:43,22:52,31 mins
142P,05:55,22:02,22 mins
147A,05:10,22:05,33 mins
147B,05:30,22:25,33 mins
147C,04:35,23:10,7 mins
147V,05:20,21:30,108 mins
14A,05:10,21:00,63 mins
14M,05:00,22:35,5 mins
15,00:20,23:40,7 mins
150,05:15,19:20,121 mins
153,05:08,21:35,20 mins
153A,04:40,22:50,13 mins
153C,05:23,21:17,64 mins
153P,05:00,20:20,61 mins
153T,05:55,19:50,119 mins
154,03:50,22:35,7 mins
154B,05:40,20:45,82 mins
154E,06:40,18:30,101 mins
154P,05:45,20:30,98 mins
155A,05:30,20:15,68 mins
157,04:43,22:55,10 mins
157E,05:00,19:10,121 mins
157T,05:00,22:15,20 mins
159,01:20,23:40,8 mins
159B,04:55,22:05,17 mins
159E,04:20,20:55,50 mins
159K,06:30,22:15,105 mins
15BET,05:55,20:50,81 mins
15F,03:10,21:56,6 mins
15G,04:50,22:00,8 mins
164,05:00,22:00,8 mins
166,04:50,20:40,45 mins
166K,05:15,20:10,81 mins
16J,04:40,21:25,29 mins
16K,04:45,20:15,33 mins
170A,05:50,21:10,61 mins
170C,04:25,22:00,10 mins
170CE,05:05,21:55,59 mins
170K,05:53,21:37,73 mins
170T,05:00,21:10,65 mins
170TX,00:30,23:30,10 mins
17D,03:35,23:05,5 mins
17E,04:30,22:55,9 mins
17K,05:22,22:30,34 mins
188A,06:50,19:20,80 mins
188C,04:46,18:56,121 mins
188E,05:35,21:25,73 mins
188ET,06:35,17:00,115 mins
188K,06:45,21:50,101 mins
188T,06:40,22:30,73 mins
18A,00:05,23:45,7 mins
18ACT,05:05,20:15,29 mins
18B,05:20,20:40,84 mins
18D,05:35,21:55,23 mins
18E,04:50,22:10,43 mins
18H,05:30,22:25,18 mins
18K,05:00,22:20,9 mins
18M,05:25,21:25,42 mins
18N,05:43,22:30,67 mins
18P,05:30,22:00,90 mins
18R,05:40,22:30,25 mins
18RX,05:35,21:55,43 mins
18S,05:10,21:45,55 mins
18X,05:10,20:50,85 mins
19,00:10,22:35,7 mins
19A,04:30,21:55,12 mins
19B,08:10,18:20,76 mins
19BET,06:25,20:50,124 mins
19C,06:10,21:55,63 mins
19D,04:40,21:35,28 mins
19T,05:15,17:00,101 mins
1C,04:10,21:25,6 mins
1D,05:10,19:15,121 mins
20,04:55,22:45,8 mins
202,04:20,21:55,11 mins
202A,04:35,21:55,11 mins
202X,03:55,21:25,12 mins
206,03:00,21:05,60 mins
20A,04:50,21:45,78 mins
20D,04:58,20:55,50 mins
20P,05:35,20:35,82 mins
21,00:40,23:50,7 mins
21C,05:30,20:50,38 mins
21EET,05:05,21:50,44 mins
21G,00:20,23:15,6 mins
21L,05:25,18:35,99 mins
21P,05:55,21:20,84 mins
22,05:45,21:20,85 mins
221,01:40,23:20,87 mins
23C,03:30,22:15,9 mins
23V,05:25,21:20,106 mins
242,04:00,22:53,5 mins
24A,05:00,22:05,23 mins
24AX,04:55,22:15,43 mins
25,04:05,22:10,5 mins
26,04:00,22:30,5 mins
266,04:40,21:30,21 mins
26B,04:45,22:25,48 mins
26G,05:45,21:27,78 mins
26K,06:40,16:35,119 mins
26M,06:25,21:05,88 mins
26R,06:05,21:35,85 mins
27B,00:50,23:55,6 mins
27D,03:50,22:57,6 mins
28A,05:00,22:15,20 mins
28B,04:00,22:45,6 mins
297,05:00,20:25,62 mins
29A,04:47,21:44,5 mins
29AET,04:51,21:35,37 mins
29AEX,05:23,22:32,33 mins
29B,05:05,20:40,32 mins
29C,04:50,21:45,7 mins
29CET,05:10,21:38,28 mins
29CEX,05:30,22:10,53 mins
29D,05:45,21:10,92 mins
29E,04:45,23:02,14 mins
29ET,04:50,20:40,73 mins
29NET,04:45,20:25,104 mins
2A,04:30,22:05,8 mins
2B,05:05,21:10,12 mins
3,04:35,22:20,5 mins
31A,05:10,22:10,8 mins
31B,05:30,21:05,49 mins
31G,05:00,22:32,15 mins
31M,06:05,22:00,64 mins
31P,04:40,21:00,65 mins
32A,04:30,21:47,7 mins
32AX,04:50,19:35,80 mins
32B,04:40,22:00,4 mins
33B,05:10,20:20,48 mins
33C,05:05,22:15,8 mins
33L,05:02,21:25,52 mins
34,05:00,19:20,96 mins
35,04:40,22:37,10 mins
35C,05:00,22:25,27 mins
36K,05:05,20:45,49 mins
36M,04:40,21:50,45 mins
36V,06:15,20:45,97 mins
37,04:10,23:05,6 mins
37B,05:35,20:05,97 mins
37CT,04:45,21:30,67 mins
37D,05:30,21:50,54 mins
37E,05:25,19:25,120 mins
37ECT,04:45,19:50,75 mins
37G,04:45,21:25,26 mins
38A,06:40,20:45,40 mins
38C,04:38,22:52,7 mins
38D,04:35,20:35,74 mins
38G,04:50,21:40,95 mins
38H,05:05,22:09,13 mins
4,04:40,22:00,6 mins
40A,04:40,22:45,21 mins
40H,03:45,21:45,12 mins
40L,04:50,22:50,15 mins
40N,05:55,21:47,73 mins
41D,04:50,21:40,30 mins
42,04:50,21:55,9 mins
42B,05:03,21:54,16 mins
42C,05:25,21:17,37 mins
42D,05:45,22:02,65 mins
42M,05:15,21:25,36 mins
44,04:20,22:20,9 mins
44C,05:30,22:05,38 mins
44CT,04:55,22:42,6 mins
45A,04:45,22:27,14 mins
45ACT,06:00,22:00,42 mins
45B,05:00,21:55,22 mins
45BET,05:25,21:10,86 mins
46,00:55,23:45,9 mins
46ET,04:48,20:52,74 mins
46G,00:20,23:20,8 mins
47,04:43,22:55,10 mins
47A,04:10,22:55,10 mins
47C,08:05,19:10,95 mins
47CX,06:00,22:25,90 mins
47DCT,04:48,20:57,65 mins
47T,05:25,21:35,65 mins
48A,05:10,20:50,85 mins
48AET,05:35,20:50,83 mins
48B,04:35,22:10,10 mins
48BX,04:50,20:00,83 mins
48C,03:00,22:26,5 mins
48K,05:27,22:12,53 mins
48P,05:50,21:30,104 mins
49,04:30,22:10,9 mins
49A,05:30,21:20,43 mins
49F,04:40,22:00,9 mins
49K,04:55,21:30,24 mins
49X,04:40,22:10,23 mins
4M,05:10,19:55,98 mins
50,04:30,21:50,35 mins
500,00:40,23:40,6 mins
500A,05:30,21:07,49 mins
500D,05:45,22:19,43 mins
500E,06:00,21:10,83 mins
500ET,05:05,19:30,96 mins
500P,04:20,22:12,11 mins
500R,07:00,22:05,70 mins
500W,06:05,20:45,126 mins
505,04:30,22:00,9 mins
505K,05:55,20:20,86 mins
50ET,06:00,22:10,75 mins
50M,05:00,20:05,82 mins
51,00:00,23:00,10 mins
512,05:05,20:15,48 mins
512S,05:35,20:00,124 mins
514,04:53,21:52,35 mins
514ET,05:40,21:40,51 mins
515,04:05,21:47,8 mins
515A,04:10,22:20,8 mins
515B,00:35,23:25,19 mins
515CT,05:55,22:05,39 mins
515K,04:05,20:25,41 mins
515M,04:15,21:05,53 mins
515T,03:55,20:25,24 mins
517K,05:40,20:10,97 mins
519T,05:15,19:30,95 mins
51A,00:10,23:50,11 mins
51AX,03:50,22:30,14 mins
51B,04:50,22:10,13 mins
51C,05:05,21:15,33 mins
51D,04:35,18:05,116 mins
51J,06:45,21:40,99 mins
51M,06:30,22:05,58 mins
51T,06:30,21:30,100 mins
51X,01:10,23:50,13 mins
52,05:05,20:30,84 mins
523,06:25,20:50,96 mins
523A,05:10,19:15,94 mins
525,06:55,20:52,93 mins
52B,04:50,21:35,35 mins
52C,05:25,20:45,61 mins
52G,04:40,20:20,85 mins
52H,05:00,22:20,7 mins
52K,05:25,21:05,72 mins
53,05:20,21:20,46 mins
53C,06:35,21:55,115 mins
53E,04:40,21:15,77 mins
53G,04:45,21:05,30 mins
53P,05:32,21:02,44 mins
54,03:10,22:25,7 mins
547,05:00,21:40,30 mins
547A,07:00,21:20,96 mins
549,04:20,19:40,46 mins
54B,09:20,18:10,88 mins
54C,05:45,22:25,23 mins
54E,04:00,21:20,45 mins
54G,05:30,20:45,131 mins
54K,04:00,21:35,46 mins
54L,05:40,20:45,101 mins
54P,05:10,21:45,30 mins
54S,04:50,20:30,72 mins
54T,04:20,20:55,59 mins
54V,04:50,19:55,101 mins
54VCT,05:25,20:40,61 mins
552K,05:40,20:40,100 mins
553K,06:45,21:25,98 mins
553W,05:00,19:00,65 mins
554B,08:10,17:50,116 mins
555G,04:03,23:10,38 mins
555M,05:58,21:37,85 mins
555N,05:30,20:40,48 mins
555P,05:10,19:35,96 mins
555S,04:00,23:02,12 mins
556,05:40,21:50,37 mins
557,04:25,20:27,42 mins
557AE,05:38,20:35,90 mins
557C,05:48,21:47,74 mins
557M,06:13,22:07,87 mins
558A,05:30,19:40,77 mins
558B,04:10,22:30,12 mins
558C,04:48,21:02,75 mins
558L,05:08,20:30,71 mins
558P,06:13,22:17,60 mins
55A,04:35,22:50,14 mins
55B,05:10,21:00,50 mins
55C,05:00,21:25,39 mins
55D,05:15,21:50,33 mins
55DET,05:30,21:15,63 mins
55ET,05:40,21:30,50 mins
55G,06:00,21:47,50 mins
55H,03:45,22:40,82 mins
55K,05:15,22:00,34 mins
55M,05:45,20:50,60 mins
