route_no,hour_of_day,day_type,occupancy_pct,avg_wait_time_min,traffic_score,event_impact_score,active_buses_on_route,route_demand_index,temp_celsius,buses_to_add
M70,19,1,0.794,20.0,4.56,0.0,10,0.6,28.7,0
27D,23,0,0.453,4.7,1.13,0.0,12,0.75,30.0,0
29C,14,0,0.911,7.2,1.25,0.0,10,0.88,25.4,2
101,3,1,0.2,6.0,1.29,0.0,11,0.85,35.7,0
45A,6,0,0.624,3.9,1.35,0.0,12,0.91,32.4,0
15G,3,0,0.309,7.8,1.94,0.22,15,0.72,38.9,0
11D,17,0,0.918,18.0,4.18,0.0,13,0.7,23.5,2
9A,23,0,0.612,6.7,1.35,0.0,17,0.93,36.6,0
21C,4,1,0.2,8.7,1.76,0.32,15,0.9,39.7,0
21C,2,0,0.2,11.2,2.04,0.0,11,0.9,27.1,0
9A,14,0,0.774,6.0,1.53,0.0,14,0.93,30.2,0
102,3,1,0.2,10.9,1.64,0.0,10,0.65,39.4,0
19C,11,0,0.84,6.7,1.36,0.0,9,0.78,26.6,0
70,12,1,0.328,9.6,2.37,0.0,12,0.86,24.4,0
19C,23,1,0.2,9.0,1.59,0.0,9,0.78,26.9,0
M70,1,1,0.2,9.3,1.49,0.0,8,0.6,28.9,0
21C,18,0,1.339,16.6,3.7,0.0,17,0.9,26.8,5
12E,23,0,0.992,10.0,1.8,0.49,12,0.88,22.3,2
104,19,0,0.961,20.5,4.51,0.0,11,0.8,36.7,2
15G,2,0,0.2,10.4,1.87,0.0,9,0.72,41.9,0
19C,4,1,0.29,4.9,1.0,0.0,11,0.78,39.8,0
70,10,1,0.541,17.1,3.53,0.0,13,0.86,40.8,0
101,13,0,0.992,12.9,2.72,0.0,10,0.85,25.6,2
29B,16,0,0.223,5.3,1.35,0.0,11,0.7,26.9,0
12E,5,0,0.293,9.2,1.61,0.0,15,0.88,39.3,0
29C,18,0,1.23,22.4,5.0,0.0,10,0.88,27.6,5
29B,8,1,0.375,19.1,4.74,0.0,12,0.7,29.7,0
21C,2,0,0.2,9.6,1.81,0.0,17,0.9,27.1,0
15G,1,0,0.417,9.3,1.68,0.0,10,0.72,40.3,0
M70,3,1,0.2,7.4,1.6,0.0,13,0.6,28.8,0
47A,1,0,0.363,5.2,1.02,0.0,16,0.95,22.6,0
70,9,1,0.964,13.8,3.55,0.0,13,0.86,27.4,1
M70,3,1,0.2,4.2,1.35,0.0,11,0.6,36.9,0
5C,20,0,0.942,10.8,2.7,0.0,13,0.85,25.1,2
29C,7,1,1.158,13.3,3.91,0.0,14,0.88,27.0,5
5C,21,0,1.057,8.0,2.24,0.0,14,0.85,41.6,3
19C,15,0,0.296,3.4,1.0,0.0,14,0.78,41.0,0
23C,1,0,0.362,6.9,1.56,0.0,13,0.92,35.2,0
23C,15,0,0.572,7.5,1.42,0.0,13,0.92,33.5,0
21C,0,1,0.2,7.7,1.91,0.0,14,0.9,40.1,0
19C,12,0,0.629,8.9,2.33,0.0,15,0.78,38.9,0
47A,18,0,1.308,17.6,4.5,0.0,15,0.95,22.8,4
23C,9,0,1.504,22.6,4.95,0.0,14,0.92,28.8,5
5C,11,0,0.699,4.4,1.26,0.0,10,0.85,32.7,0
70,15,0,0.461,6.0,1.26,0.0,14,0.86,41.0,0
104,14,0,0.885,4.0,1.45,0.0,13,0.8,37.0,1
29C,6,0,0.516,5.8,1.22,0.0,14,0.88,36.1,0
45A,11,0,0.784,10.5,2.17,0.0,11,0.91,38.4,0
47A,4,0,0.202,5.6,1.68,0.1,14,0.95,37.5,0
M70,9,1,0.496,15.5,4.11,0.0,10,0.6,33.4,0
70,7,0,1.238,16.1,4.31,0.0,15,0.86,23.7,4
12E,20,1,0.83,10.4,2.52,0.0,14,0.88,23.5,0
29B,18,1,0.669,22.9,5.0,0.0,15,0.7,40.3,0
15G,15,1,0.2,4.9,1.22,0.0,12,0.72,34.9,0
27D,17,0,0.815,10.1,3.47,0.0,15,0.75,38.3,0
29C,12,1,0.816,8.6,2.64,0.0,11,0.88,40.4,0
15G,23,1,0.319,4.9,1.01,0.0,14,0.72,29.6,0
21G,12,0,0.745,7.7,2.06,0.0,17,0.92,39.3,0
21G,4,1,0.2,4.7,1.5,0.0,15,0.92,26.8,0
9A,13,0,0.925,9.4,2.84,0.0,14,0.93,34.4,2
27D,6,0,0.467,8.4,2.12,0.0,12,0.75,30.4,0
5C,20,0,1.213,14.3,4.52,0.0,16,0.85,29.8,5
104,1,0,0.2,12.0,2.1,0.0,16,0.8,37.9,0
15G,23,1,0.36,7.3,1.59,0.0,12,0.72,31.9,0
11D,10,0,0.586,16.4,3.29,0.0,15,0.7,25.6,0
23C,23,0,0.595,3.1,1.17,0.33,15,0.92,25.5,0
12E,0,0,0.2,8.5,1.81,0.0,11,0.88,38.0,0
45A,23,1,0.485,6.7,1.52,0.27,15,0.91,40.5,0
32B,22,0,0.435,8.7,1.4,0.0,10,0.68,32.2,0
45A,12,1,0.45,9.3,2.62,0.0,13,0.91,29.5,0
15G,6,0,0.296,6.9,1.24,0.0,9,0.72,29.1,0
9A,12,0,1.014,7.5,1.66,0.0,16,0.93,30.6,4
15G,8,0,1.125,19.9,4.59,0.0,11,0.72,26.7,4
12E,5,0,0.206,9.0,1.55,0.0,12,0.88,40.3,0
45A,5,1,0.2,14.0,2.22,0.0,12,0.91,27.6,0
19C,4,0,0.255,8.4,2.15,0.0,11,0.78,32.6,0
21C,13,0,0.848,4.5,1.84,0.0,13,0.9,31.1,0
5C,22,0,0.889,8.2,2.0,0.0,11,0.85,37.9,1
21G,4,1,0.2,7.3,1.57,0.0,13,0.92,23.0,0
27D,10,1,0.619,14.2,3.24,0.0,14,0.75,26.7,0
32B,3,0,0.254,9.9,2.18,0.0,13,0.68,32.8,0
